Address,Price,Sold_Year
YARRAVILLE VIC 3013,"$1,015,000 ",Sold at auction 23 Nov 2022
AIRPORT WEST VIC 3042,"$1,015,000 ",Sold by private treaty 22 Nov 2022
AIRPORT WEST VIC 3042,"$708,000 ",Sold at auction 22 Nov 2022
ALTONA VIC 3018,"$1,570,000 ",Sold by private treaty 22 Nov 2022
ASCOT VIC 3551,"$800,000 ",Sold by private treaty 22 Nov 2022
AVONDALE HEIGHTS VIC 3034,"$870,000 ",Sold at auction 22 Nov 2022
BAIRNSDALE VIC 3875,"$415,000 ",Sold by private treaty 22 Nov 2022
BANNOCKBURN VIC 3331,"$740,000 ",Sold by private treaty 22 Nov 2022
BANNOCKBURN VIC 3331,"$870,000 ",Sold by private treaty 22 Nov 2022
BARANDUDA VIC 3691,"$1,200,000 ",Sold by private treaty 22 Nov 2022
BEACONSFIELD VIC 3807,"$1,800,000 ",Sold by private treaty 22 Nov 2022
BERWICK VIC 3806,"$1,835,000 ",Sold by private treaty 22 Nov 2022
BERWICK VIC 3806,"$680,000 ",Sold by private treaty 22 Nov 2022
BERWICK VIC 3806,"$887,000 ",Sold by private treaty 22 Nov 2022
BEVERIDGE VIC 3753,"$710,000 ",Sold by private treaty 22 Nov 2022
BUNINYONG VIC 3357,"$503,000 ",Sold by private treaty 22 Nov 2022
CANADIAN VIC 3350,"$415,000 ",Sold by private treaty 22 Nov 2022
CASTLEMAINE VIC 3450,"$624,080 ",Sold by private treaty 22 Nov 2022
CHURCHILL VIC 3842,"$429,500 ",Sold by private treaty 22 Nov 2022
CHURCHILL VIC 3842,"$360,000 ",Sold by private treaty 22 Nov 2022
CLAYTON VIC 3168,"$643,000 ",Sold by private treaty 22 Nov 2022
CLYDE NORTH VIC 3978,"$350,000 ",Sold by private treaty 22 Nov 2022
CLYDE NORTH VIC 3978,"$750,000 ",Sold by private treaty 22 Nov 2022
CLYDE NORTH VIC 3978,"$750,000 ",Sold by private treaty 22 Nov 2022
COBRAM VIC 3644,"$470,000 ",Sold by private treaty 22 Nov 2022
CRAIGIEBURN VIC 3064,"$462,500 ",Sold prior to auction 22 Nov 2022
CRAIGIEBURN VIC 3064,"$548,000 ",Sold by private treaty 22 Nov 2022
CROYDON VIC 3136,"$710,000 ",Sold by private treaty 22 Nov 2022
DANDENONG VIC 3175,"$270,000 ",Sold by private treaty 22 Nov 2022
DANDENONG VIC 3175,"$730,000 ",Sold by private treaty 22 Nov 2022
DARLEY VIC 3340,"$547,000 ",Sold by private treaty 22 Nov 2022
DELACOMBE VIC 3356,"$400,000 ",Sold by private treaty 22 Nov 2022
DELACOMBE VIC 3356,"$680,000 ",Sold by private treaty 22 Nov 2022
DIGGERS REST VIC 3427,"$630,000 ",Sold prior to auction 22 Nov 2022
DONCASTER VIC 3108,"$1,055,000 ",Sold by private treaty 22 Nov 2022
ELTHAM VIC 3095,"$1,090,000 ",Sold by private treaty 22 Nov 2022
ELWOOD VIC 3184,"$408,000 ",Sold by private treaty 22 Nov 2022
ENDEAVOUR HILLS VIC 3802,"$810,000 ",Sold by private treaty 22 Nov 2022
FOOTSCRAY VIC 3011,"$600,000 ",Sold by private treaty 22 Nov 2022
